"date","time","lon","lat","Uwnd","Vwnd","wndDir","wndSpd"
"20040101","0200",32.80994739,-27.66740794,1.24599224328995,9.99806976318359,97.0004746620196,10.0722150910369
"20040101","0800",32.80994739,-27.66740794,-2.27178728580475,8.67997360229492,74.9852559249897,8.97761708522548
"20040101","1400",32.80994739,-27.66740794,-6.84961533546448,4.07467484474182,30.1294648777651,7.98928178066922
"20040101","2000",32.80994739,-27.66740794,-5.82805585861206,0.904273897409439,8.47007669373858,5.91854836948541
"20040102","0200",32.80994739,-27.66740794,-3.41000688076019,-3.45297455787659,314.666492831743,4.76532464706604
"20040102","0800",32.80994739,-27.66740794,-0.817433267831802,-6.50424337387085,277.12208009477,6.54596899598189
"20040102","1400",32.80994739,-27.66740794,-3.70190346240997,-6.49153709411621,300.355004886387,7.52270232592443
"20040102","2000",32.80994739,-27.66740794,-5.92333436012268,-4.950443983078,318.180541335552,7.73224068344267
"20040103","0200",32.80994739,-27.66740794,-0.860188454389572,-0.934175729751587,317.412801600474,1.33052563775244
"20040103","0800",32.80994739,-27.66740794,2.628826379776,8.01776361465454,107.990595572732,8.43160378110477
"20040103","1400",32.80994739,-27.66740794,-0.633834987878799,11.0996022224426,86.7073360212223,11.1285674488837
"20040103","2000",32.80994739,-27.66740794,-2.2881133556366,11.3903069496155,79.1219810791558,11.6404974885232
"20040104","0200",32.80994739,-27.66740794,0.669999748468399,12.2232360839844,93.3075432634622,12.2424985193627
"20040104","0800",32.80994739,-27.66740794,-2.65295171737671,8.95469427108765,73.6752554937241,9.33101592942792
"20040104","1400",32.80994739,-27.66740794,-2.14505839347839,7.07095432281494,73.4109664432138,7.38994092242237
"20040104","2000",32.80994739,-27.66740794,-3.4550986289978,5.25917720794678,56.7053239039618,6.29307266507032
"20040105","0200",32.80994739,-27.66740794,-3.46287941932678,2.72343695163727,37.2014712354335,4.32132341627956
"20040105","0800",32.80994739,-27.66740794,-3.25435841083527,-0.748120844364166,338.053116337991,3.44705777779326
"20040105","1400",32.80994739,-27.66740794,-6.61400270462036,-4.91214656829834,323.400762788163,8.23862505403756
"20040105","2000",32.80994739,-27.66740794,-5.8078761100769,-6.29515480995178,313.211560450954,8.5663736536898
"20040106","0200",32.80994739,-27.66740794,-3.62883508205414,-7.88489961624146,294.605156052153,8.62022378444751
"20040106","0800",32.80994739,-27.66740794,-1.76042091846466,-9.20541191101074,280.549911376182,9.37378601105092
"20040106","1400",32.80994739,-27.66740794,-4.72584390640259,-9.28365898132324,296.978419232706,10.4172897070053
"20040106","2000",32.80994739,-27.66740794,-7.23417973518372,-8.69273090362549,309.801307813815,11.1923554141492
"20040107","0200",32.80994739,-27.66740794,-4.81798267364502,-7.12958097457886,303.302551355826,8.62929894434994
"20040107","0800",32.80994739,-27.66740794,-1.4153801202774,-6.90456795692444,281.631398523806,7.03577977451371
"20040107","1400",32.80994739,-27.66740794,-4.41438579559326,-1.93463456630707,335.418466177198,4.81126376088411
"20040107","2000",32.80994739,-27.66740794,-5.15768718719482,-0.825041711330414,346.967117859919,5.18073109948843
"20040108","0200",32.80994739,-27.66740794,-4.88125586509705,-3.23854351043701,328.258473772182,5.83591993967149
"20040108","0800",32.80994739,-27.66740794,-1.35585910081863,-4.25245308876038,287.469919185899,4.43986632833151
"20040108","1400",32.80994739,-27.66740794,-5.03340125083923,-4.03837823867798,322.361086005967,6.3690792765645
"20040108","2000",32.80994739,-27.66740794,-3.69489669799805,-4.94263362884521,306.540669431641,6.05410476282908
"20040109","0200",32.80994739,-27.66740794,-3.32820284366608,-5.54316139221191,300.807386835136,6.4686283654353
"20040109","0800",32.80994739,-27.66740794,2.91910934448242,-5.45612859725952,242.147130715605,6.10462570998516
"20040109","1400",32.80994739,-27.66740794,-5.76141405105591,-4.21793985366821,323.467976313033,7.16732660465162
"20040109","2000",32.80994739,-27.66740794,-4.84054136276245,-4.76111555099487,314.401123511561,6.7143332489983
"20040110","0200",32.80994739,-27.66740794,-2.76736795902252,-5.14435863494873,296.325857768785,5.92297817263045
"20040110","0800",32.80994739,-27.66740794,-0.719937205314636,-7.56203937530518,275.673124830214,7.59151337794826
"20040110","1400",32.80994739,-27.66740794,-6.5427668094635,-3.06913721561432,334.828847058009,7.2284419806597
"20040110","2000",32.80994739,-27.66740794,-3.45527100563049,2.37246251106262,33.8218531445294,4.18749755098232
"20040111","0200",32.80994739,-27.66740794,0.024533711373806,5.54981589317322,90.2587581184196,5.55183617296492
"20040111","0800",32.80994739,-27.66740794,-2.81301379203796,1.0102236866951,20.060151784719,3.0116025661473
"20040111","1400",32.80994739,-27.66740794,-5.1634156703949,-0.458798930048943,354.686391318721,5.18083178213415
"20040111","2000",32.80994739,-27.66740794,-5.50651288032532,-1.60834234952927,344.80545620578,5.76726405087112
"20040112","0200",32.80994739,-27.66740794,-1.62949246168137,-3.26015591621399,297.330171633514,3.64581710684698
"20040112","0800",32.80994739,-27.66740794,0.0632638800889254,-5.09869337081909,269.304622337544,5.09910937039939
"20040112","1400",32.80994739,-27.66740794,-4.46024131774902,-5.38496446609497,310.53214026859,6.99496793202746
"20040112","2000",32.80994739,-27.66740794,-6.24289107322693,-5.94614028930664,316.877488142324,8.50772840524398
"20040113","0200",32.80994739,-27.66740794,-3.39996099472046,-7.09717440605164,295.073272281904,7.78337375244541
"20040113","0800",32.80994739,-27.66740794,0.279844705015421,-5.02709865570068,267.203473137609,5.04440472533957
"20040113","1400",32.80994739,-27.66740794,-6.0595850944519,-4.30635929107666,324.096631294839,7.34853204705353
"20040113","2000",32.80994739,-27.66740794,-4.9299533367157,-4.50772762298584,316.638634525048,6.57605771348087
"20040114","0200",32.80994739,-27.66740794,-3.36738443374634,-5.73837065696716,299.67514893702,6.55807926585825
"20040114","0800",32.80994739,-27.66740794,-1.52254241704941,-6.49431157112122,283.596578420234,6.6817210830628
"20040114","1400",32.80994739,-27.66740794,-5.440758228302,-6.82765817642212,309.030291128651,8.68723303839447
"20040114","2000",32.80994739,-27.66740794,-8.02854347229004,-7.94143867492676,315.130400011835,11.1322081234961
"20040115","0200",32.80994739,-27.66740794,-4.51680135726929,-7.55166220664978,300.087917396309,8.78991021912616
"20040115","0800",32.80994739,-27.66740794,0.0874667875468731,-10.4019441604614,269.54762321591,10.4043785904615
"20040115","1400",32.80994739,-27.66740794,-3.80427980422974,-6.5859522819519,300.021266529023,7.60580829706735
"20040115","2000",32.80994739,-27.66740794,-3.48631107807159,7.43907380104065,64.8392651425697,8.17239448296498
"20040116","0200",32.80994739,-27.66740794,1.03380239009857,10.680392742157,95.3234738615871,10.7219168273805
"20040116","0800",32.80994739,-27.66740794,1.16302645206451,9.96300601959229,96.665262559938,10.0307168183848
"20040116","1400",32.80994739,-27.66740794,-0.782052159309387,10.1539697647095,85.6262076564936,10.2270973006616
"20040116","2000",32.80994739,-27.66740794,-1.49087929725647,9.06191921234131,80.393594725615,9.18912094895949
"20040117","0200",32.80994739,-27.66740794,-0.99020928144455,7.77245426177979,83.0752964190003,7.83683199164956
"20040117","0800",32.80994739,-27.66740794,-2.92237555980682,6.32622385025024,65.2262192339669,6.96860056548908
"20040117","1400",32.80994739,-27.66740794,-5.13390755653381,2.66858422756195,27.4181355848789,5.78720152812083
"20040117","2000",32.80994739,-27.66740794,-5.01057267189026,-2.08374780416489,338.639591923796,5.39503360982796
"20040118","0200",32.80994739,-27.66740794,-2.4061838388443,-4.08846986293793,299.947739630987,4.68071890607289
"20040118","0800",32.80994739,-27.66740794,-1.34418672323227,-6.78916549682617,281.217830172295,6.92168473025446
"20040118","1400",32.80994739,-27.66740794,-4.30518198013306,-7.33560943603516,300.491242172904,8.48581067260874
"20040118","2000",32.80994739,-27.66740794,-5.08694291114807,-6.0558168888092,310.137578851326,7.90891014803158
"20040119","0200",32.80994739,-27.66740794,-4.07307147979736,-3.92658138275146,314.806261273225,5.68819820035114
"20040119","0800",32.80994739,-27.66740794,-3.32280373573303,-4.14680480957031,308.704612122444,5.31385240993589
"20040119","1400",32.80994739,-27.66740794,-3.6254049539566,-3.87265956401825,313.816094369872,5.30574829636505
"20040119","2000",32.80994739,-27.66740794,-4.48209881782532,-3.80608737468719,320.697431955573,5.79010861478078
"20040120","0200",32.80994739,-27.66740794,-3.96262884140015,-6.65723609924316,300.996437652618,7.70208704605963
"20040120","0800",32.80994739,-27.66740794,-0.0195494368672371,-5.18354845046997,270.16711669953,5.18607640061228
"20040120","1400",32.80994739,-27.66740794,-2.34776067733765,-4.73858046531677,297.061852160181,5.28886789757126
"20040120","2000",32.80994739,-27.66740794,-6.80767869949341,-0.0038943812251091,180.242700739342,6.8249181627322
"20040121","0200",32.80994739,-27.66740794,-4.01712167263031,-0.0281473100185394,181.175077690459,4.03189528036457
"20040121","0800",32.80994739,-27.66740794,-0.582424849271774,3.55859267711639,80.7321233900985,3.60609434696117
"20040121","1400",32.80994739,-27.66740794,-4.54451394081116,4.27618265151978,42.9829987176459,6.24427908430709
"20040121","2000",32.80994739,-27.66740794,-5.42129898071289,3.16343379020691,28.0225908447121,6.42523035690021
"20040122","0200",32.80994739,-27.66740794,-0.666129425168037,-0.149080604314804,182.408883582004,0.879622694037537
"20040122","0800",32.80994739,-27.66740794,-0.289286695420742,3.4071204662323,84.7799312558466,3.44305317723196
"20040122","1400",32.80994739,-27.66740794,0.418905988335609,1.60814273357391,104.840884397182,1.65947399573598
"20040122","2000",32.80994739,-27.66740794,-2.30563080310822,2.45051896572113,45.0829164058611,3.3746665331811
