"date","time","lon","lat","Uwnd","Vwnd","wndDir","wndSpd"
"20040101","0200",22.19311491,-34.29567901,1.59439206123352,1.0505907535553,146.030043624448,1.92250462373039
"20040101","0800",22.19311491,-34.29567901,0.543230533599854,-0.189927741885185,201.302384355715,0.583068007962288
"20040101","1400",22.19311491,-34.29567901,-0.141000539064407,3.32045102119446,87.7508292269254,3.32800089665203
"20040101","2000",22.19311491,-34.29567901,-0.0282777547836304,2.71090269088745,89.2571769447245,2.71146313711788
"20040102","0200",22.19311491,-34.29567901,1.45737886428833,0.686382353305817,152.416967640401,1.68691535325636
"20040102","0800",22.19311491,-34.29567901,2.15654826164246,1.30585718154907,147.256692728872,2.71523974686834
"20040102","1400",22.19311491,-34.29567901,1.23658323287964,6.28675079345703,100.968877151361,6.47875683436296
"20040102","2000",22.19311491,-34.29567901,1.47596704959869,4.03649759292603,108.844783156042,4.41080179798541
"20040103","0200",22.19311491,-34.29567901,-3.19975519180298,3.12900233268738,45.5349298114616,4.56798365855096
"20040103","0800",22.19311491,-34.29567901,-6.39211797714233,1.60406219959259,14.6611981711109,6.67168203476938
"20040103","1400",22.19311491,-34.29567901,-8.08578014373779,3.16105127334595,21.3524942172341,8.68170983652336
"20040103","2000",22.19311491,-34.29567901,-11.4255933761597,1.46197485923767,7.94382186507832,11.5234233513234
"20040104","0200",22.19311491,-34.29567901,-8.83892917633057,-3.22142338752747,337.658863577847,9.55624952004445
"20040104","0800",22.19311491,-34.29567901,-7.68774175643921,-2.33046936988831,342.359013036814,8.05905862052001
"20040104","1400",22.19311491,-34.29567901,-10.6261224746704,1.8450311422348,10.3645470946348,10.8361539804754
"20040104","2000",22.19311491,-34.29567901,-11.7107648849487,0.0101926568895578,2.4970699866991,11.7218954001727
"20040105","0200",22.19311491,-34.29567901,-8.9555835723877,-2.45497441291809,344.106074155836,9.19410846893163
"20040105","0800",22.19311491,-34.29567901,-9.73303031921387,-1.60240757465363,350.650916742629,9.86405541499254
"20040105","1400",22.19311491,-34.29567901,-3.33034610748291,2.67778277397156,35.1423689003622,4.70794816774881
"20040105","2000",22.19311491,-34.29567901,3.30217719078064,3.95462012290955,130.660837797667,4.91180818128412
"20040106","0200",22.19311491,-34.29567901,2.19784808158875,0.264408707618713,172.949603577285,2.21459356821404
"20040106","0800",22.19311491,-34.29567901,3.08760380744934,-0.450405448675156,189.009240188461,3.12617106951436
"20040106","1400",22.19311491,-34.29567901,7.96371030807495,5.15808296203613,146.944400286571,9.48822964067516
"20040106","2000",22.19311491,-34.29567901,3.26523494720459,6.57525062561035,113.687201233857,7.50085876027129
"20040107","0200",22.19311491,-34.29567901,0.780105948448181,3.84878611564636,101.15283411943,3.86729082355345
"20040107","0800",22.19311491,-34.29567901,-3.12498450279236,4.35384798049927,54.9008508055752,5.35924625110565
"20040107","1400",22.19311491,-34.29567901,-5.86714696884155,3.39798045158386,30.0774404258901,6.78009474147174
"20040107","2000",22.19311491,-34.29567901,-9.87275505065918,0.900357902050018,5.6044335686102,9.91062230616812
"20040108","0200",22.19311491,-34.29567901,-6.17248296737671,-0.657528698444366,353.920981389906,6.20896176121555
"20040108","0800",22.19311491,-34.29567901,-6.76564168930054,-1.88083457946777,344.028278500817,7.02221091845888
"20040108","1400",22.19311491,-34.29567901,-4.90918636322021,2.28685450553894,27.5089640186687,5.41570071905114
"20040108","2000",22.19311491,-34.29567901,-4.51819324493408,3.5598931312561,38.2346429089575,5.75212215660728
"20040109","0200",22.19311491,-34.29567901,-3.70826888084412,0.512396633625031,9.84057503952928,3.73128911407446
"20040109","0800",22.19311491,-34.29567901,-2.71578478813171,1.73568058013916,29.7753751995198,3.22305353534809
"20040109","1400",22.19311491,-34.29567901,0.114292085170746,4.68438243865967,91.2676730442421,4.68769417260867
"20040109","2000",22.19311491,-34.29567901,3.10304880142212,4.72907257080078,121.393544175599,5.67233836929718
"20040110","0200",22.19311491,-34.29567901,3.59283518791199,3.9059898853302,133.658447175163,5.62769612112045
"20040110","0800",22.19311491,-34.29567901,2.4805314540863,4.63616037368774,120.132050106564,5.1623603105135
"20040110","1400",22.19311491,-34.29567901,-2.58333539962769,5.35280609130859,63.6459817663136,5.94358097766994
"20040110","2000",22.19311491,-34.29567901,-7.5511622428894,2.83199548721313,21.2887443530868,8.10416997751281
"20040111","0200",22.19311491,-34.29567901,-7.32669639587402,-0.427978962659836,355.791636331675,7.33172257164897
"20040111","0800",22.19311491,-34.29567901,-10.0162382125854,-1.71133530139923,350.588537210435,10.1350060552023
"20040111","1400",22.19311491,-34.29567901,-7.60109949111938,1.16045379638672,10.0582161686974,7.82987028484707
"20040111","2000",22.19311491,-34.29567901,-8.4283275604248,0.0927697867155075,1.77162008865969,8.42873536424798
"20040112","0200",22.19311491,-34.29567901,-4.41810846328735,-0.180931076407433,356.605177456932,4.41817350034312
"20040112","0800",22.19311491,-34.29567901,-1.83878290653229,1.05270981788635,29.3472402638336,2.2868236998733
"20040112","1400",22.19311491,-34.29567901,-2.58773636817932,3.709064245224,55.0973264295424,4.52255868799919
"20040112","2000",22.19311491,-34.29567901,-5.40635776519775,2.42607474327087,25.8258197123837,5.87820931328038
"20040113","0200",22.19311491,-34.29567901,-5.9679274559021,-0.124144613742828,348.898698409101,5.96921854215704
"20040113","0800",22.19311491,-34.29567901,-6.05431842803955,-1.83664274215698,342.68259053852,6.20539365686317
"20040113","1400",22.19311491,-34.29567901,-3.81424331665039,-0.986998915672302,346.986903988145,3.91478026609202
